File BR50042, IAD, Is already downloaded: Skipping
File BR50177, no, Link 1 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50178, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50179, no, Link 1 Error: ('HTTP Error 404: Not Found',). Link 2 Error: No data found: Skipping
File BR50180, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: HTTP Error 403: Forbidden
File BR50181, YES, Downloaded without issue through link1
File BR50182, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50183, no, Link 1 Error: ('HTTP Error 500: Internal Server Error',). Link 2 Error: No data found: Skipping
File BR50144, no, Link 1 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>, Link 2 Error: <urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>
File BR50185, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50184, no, Link 1 Error: HTTP Error 404: Not Found, Link 2 Error: HTTP Error 404: Not Found
File BR50187, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
File BR50186, YES, Downloaded without issue through link1
File BR50131, no, Link 1 Error: The read operation timed out, Link 2 Error: The read operation timed out
File BR50190, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50188, no, Link 1 Error: ('<urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>',). Link 2 Error: No data found: Skipping
File BR50192, no, Link 1 Error: HTTP Error 403: Forbidden, Link 2 Error: HTTP Error 403: Forbidden
File BR50193, no, Link 1 Error: ('HTTP Error 404: ',). Link 2 Error: No data found: Skipping
File BR50189, no, Link 1 Error: ('<urlopen error [WinError 10060] Et forsøg på at oprette forbindelse mislykkedes, fordi den part, der havde oprettet forbindelse, ikke svarede korrekt efter en periode, eller en oprettet forbindelse blev afbrudt, fordi værten ikke svarede>',). Link 2 Error: No data found: Skipping
File BR50195, no, Link 1 Error: ("<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ae.no'. (_ssl.c:1032)>",). Link 2 Error: No data found: Skipping
File BR50196, YES, Downloaded without issue through link1
File BR50197, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
File BR50191, YES, Downloaded without issue through link1
File BR50198, YES, Downloaded without issue through link1
File BR50200, no, Link 1 Error: 1: No data found: Skipping, Link 2 Error: <urlopen error [Errno 11001] getaddrinfo failed>
File BR50201, no, Link 1 Error: ('HTTP Error 403: Forbidden',). Link 2 Error: No data found: Skipping
